model,test_site,train_sites,auc,auc_variance,auc_se,n_test,n_pos,n_neg,prevalence
tabicl,Site_1,Site_2|Site_3|Site_4,0.8512550607287449,0.0006563176643359343,0.025618697553465405,485,95,390,0.1958762886597938
tabicl,Site_2,Site_1|Site_3|Site_4,0.8234317862165963,0.0007863847728225746,0.0280425528941745,485,90,395,0.18556701030927836
tabicl,Site_3,Site_1|Site_2|Site_4,0.8054636591478697,0.0007344436726025518,0.027100621258608664,485,105,380,0.21649484536082475
tabicl,Site_4,Site_1|Site_2|Site_3,0.8931329423264908,0.0004351361842617447,0.02085991812691854,482,110,372,0.22821576763485477
